	item	RT	ACC	literate	number	list	pp	subject
2	B4.jpg	10.310601775163377	1.0	y	10	b	y_10	13
3	B9.jpg	9.076799393151305	0.0	y	10	b	y_10	13
4	C6.jpg	5.354145257861092	0.0	y	10	b	y_10	13
5	C10.jpg	22.736609704388684	0.0	y	10	b	y_10	13
6	D8.jpg	9.657865284185393	0.0	y	10	b	y_10	13
7	E2.jpg	21.43360528593621	0.0	y	10	b	y_10	13
8	E4.jpg	9.548756155199953	0.0	y	10	b	y_10	13
9	E9.jpg	25.116386771871483	0.0	y	10	b	y_10	13
1	A11.jpg	28.52068318284819	0.0	y	11	a	y_11	14
2	B12.jpg	19.074471128558802	1.0	y	11	a	y_11	14
3	C4.jpg	16.074191932740177	0.0	y	11	a	y_11	14
4	C12.jpg	13.838313203409598	0.0	y	11	a	y_11	14
5	D7.jpg	21.72907307798596	1.0	y	11	a	y_11	14
6	D12.jpg	10.002034604072833	0.0	y	11	a	y_11	14
7	E1.jpg	6.7265485642683425	0.0	y	11	a	y_11	14
8	E5.jpg	7.313949417335608	0.0	y	11	a	y_11	14
9	E7.jpg	11.241620681075801	0.0	y	11	a	y_11	14
1	A10.jpg	11.428967964204276	0.0	y	11	b	y_11	14
2	B4.jpg	7.047793137374357	0.0	y	11	b	y_11	14
3	B9.jpg	3.8603101059161418	0.0	y	11	b	y_11	14
4	C6.jpg	4.588139567113103	0.0	y	11	b	y_11	14
5	C10.jpg	3.700715049262726	0.0	y	11	b	y_11	14
6	D8.jpg	6.664787126357624	0.0	y	11	b	y_11	14
7	E2.jpg	6.886584904299525	0.0	y	11	b	y_11	14
8	E4.jpg	17.645849221291424	0.0	y	11	b	y_11	14
9	E9.jpg	9.991661405574632	1.0	y	11	b	y_11	14
1	A11.jpg	32.39987648928218	1.0	low	2	a	low_2	15
2	B12.jpg	26.205022931339045	1.0	low	2	a	low_2	15
3	C4.jpg	62.0135513302921	1.0	low	2	a	low_2	15
4	C12.jpg	45.789320618107006	0.0	low	2	a	low_2	15
5	D7.jpg	31.655303788553287	0.0	low	2	a	low_2	15
6	D12.jpg	53.58170469105608	0.0	low	2	a	low_2	15
7	E1.jpg	32.97960857475482	0.0	low	2	a	low_2	15
8	E5.jpg	29.506671523889967	0.0	low	2	a	low_2	15
9	E7.jpg	42.744612817397865	0.0	low	2	a	low_2	15
1	A10.jpg	16.450058392041687	0.0	low	2	b	low_2	15
2	B4.jpg	9.990768303130608	0.0	low	2	b	low_2	15
3	B9.jpg	21.558846293180977	1.0	low	2	b	low_2	15
4	C6.jpg	39.54645915677247	0.0	low	2	b	low_2	15
5	C10.jpg	28.97809791871623	0.0	low	2	b	low_2	15
6	D8.jpg	50.713580749183166	0.0	low	2	b	low_2	15
7	E2.jpg	38.373396244918695	0.0	low	2	b	low_2	15
8	E4.jpg	28.439597261043676	0.0	low	2	b	low_2	15
9	E9.jpg	23.827865039416796	0.0	low	2	b	low_2	15
1	A11.jpg	59.40445303147135	0.0	y	12	a	y_12	16
2	B12.jpg	19.540101677528586	1.0	y	12	a	y_12	16
3	C4.jpg	25.698550775137853	1.0	y	12	a	y_12	16
4	C12.jpg	57.64367238539853	0.0	y	12	a	y_12	16
5	D7.jpg	22.840426014721746	0.0	y	12	a	y_12	16
6	D12.jpg	44.85801778262248	0.0	y	12	a	y_12	16
7	E1.jpg	47.56460323803186	1.0	y	12	a	y_12	16
8	E5.jpg	29.41403281138628	0.0	y	12	a	y_12	16
9	E7.jpg	51.453577718159075	0.0	y	12	a	y_12	16
1	A10.jpg	27.16849812099826	1.0	y	12	b	y_12	16
2	B4.jpg	11.150642555599916	0.0	y	12	b	y_12	16
3	B9.jpg	25.020041721334568	1.0	y	12	b	y_12	16
4	C6.jpg	19.085050988695	0.0	y	12	b	y_12	16
5	C10.jpg	32.77480810858833	0.0	y	12	b	y_12	16
6	D8.jpg	42.675397783124936	0.0	y	12	b	y_12	16
7	E2.jpg	58.56551417009905	0.0	y	12	b	y_12	16
8	E4.jpg	54.87379822206276	0.0	y	12	b	y_12	16
9	E9.jpg	24.28704734009807	0.0	y	12	b	y_12	16
1	A11.jpg	39.6629093419906	0.0	n	2	a	n_2	17
2	B12.jpg	19.96742323736544	0.0	n	2	a	n_2	17
3	C4.jpg	21.982834927592197	0.0	n	2	a	n_2	17
4	C12.jpg	7.442350723445998	0.0	n	2	a	n_2	17
5	D7.jpg	5.981800403766101	0.0	n	2	a	n_2	17
6	D12.jpg	4.459031559264987	0.0	n	2	a	n_2	17
7	E1.jpg	2.7794312509649903	0.0	n	2	a	n_2	17
8	E5.jpg	4.136830669565826	0.0	n	2	a	n_2	17
9	E7.jpg	4.696515360628837	0.0	n	2	a	n_2	17
1	A10.jpg	18.53623062140832	0.0	n	2	b	n_2	17
2	B4.jpg	7.224336474318989	0.0	n	2	b	n_2	17
3	B9.jpg	8.265631926711649	0.0	n	2	b	n_2	17
4	C6.jpg	3.75025386964262	0.0	n	2	b	n_2	17
5	C10.jpg	2.5214891632203944	0.0	n	2	b	n_2	17
6	D8.jpg	2.6340383061615285	0.0	n	2	b	n_2	17
7	E2.jpg	2.4512002988776658	0.0	n	2	b	n_2	17
8	E4.jpg	2.3383930315321777	1.0	n	2	b	n_2	17
9	E9.jpg	5.504794955195393	1.0	n	2	b	n_2	17
1	A11.jpg	97.53497678749589	0.0	y	13	a	y_13	18
2	B12.jpg	13.708171198342823	1.0	y	13	a	y_13	18
3	C4.jpg	11.798903175272242	1.0	y	13	a	y_13	18
4	C12.jpg	17.131126636089903	0.0	y	13	a	y_13	18
5	D7.jpg	19.324320228409306	0.0	y	13	a	y_13	18
